Audit area,Item,Audit question,Status,Finding,Priority,Owner,Deadline
Objective,Offer,Is the product and revenue objective clear?,Not checked,,,,
Customer,ICP,Are the buyer and decision maker defined?,Not checked,,,,
Message,Value proposition,Are ads landing pages and sales scripts aligned?,Not checked,,,,
Acquisition,Lead source,Is every lead source captured correctly?,Not checked,,,,
Landing page,CTA,Is there one clear primary action?,Not checked,,,,
Landing page,Form,Does the form create unnecessary friction?,Not checked,,,,
Sales,Owner,Does every lead receive an owner immediately?,Not checked,,,,
Sales,SLA,Is response time defined and measured?,Not checked,,,,
Sales,Follow-up,Is there a sequence of at least five touches?,Not checked,,,,
CRM,Pipeline,Do stages have clear entry and exit criteria?,Not checked,,,,
CRM,Lost reason,Are lost reasons standardized?,Not checked,,,,
Measurement,Conversion,Is conversion measured between stages?,Not checked,,,,
Measurement,Revenue,Is lead source connected to revenue?,Not checked,,,,
Governance,Review,Do Marketing and Sales review data regularly?,Not checked,,,,
