Nhóm kiểm tra,Hạng mục,Câu hỏi audit,Trạng thái,Phát hiện,Ưu tiên,Owner,Deadline
Mục tiêu,Offer,Sản phẩm và mục tiêu doanh thu đã rõ chưa?,Chưa kiểm tra,,, ,
Khách hàng,ICP,Đối tượng mua và người ra quyết định đã được định nghĩa chưa?,Chưa kiểm tra,,,,
Thông điệp,Value proposition,Lời hứa trên quảng cáo landing page và sales script có đồng nhất không?,Chưa kiểm tra,,,,
Acquisition,Nguồn lead,Mỗi lead có lưu đúng nguồn chiến dịch không?,Chưa kiểm tra,,,,
Landing page,CTA,CTA có rõ một hành động chính không?,Chưa kiểm tra,,,,
Landing page,Form,Form có hỏi quá nhiều trường gây giảm chuyển đổi không?,Chưa kiểm tra,,,,
Sales,Owner,Mỗi lead có owner ngay khi vào hệ thống không?,Chưa kiểm tra,,,,
Sales,SLA,Thời hạn phản hồi đã được định nghĩa và đo chưa?,Chưa kiểm tra,,,,
Sales,Follow-up,Có sequence follow-up tối thiểu 5 điểm chạm không?,Chưa kiểm tra,,,,
CRM,Pipeline,Các trạng thái pipeline có rõ điều kiện vào và ra không?,Chưa kiểm tra,,,,
CRM,Lost reason,Lý do mất lead có được chuẩn hóa không?,Chưa kiểm tra,,,,
Measurement,Conversion,Có đo tỷ lệ chuyển đổi giữa từng bước không?,Chưa kiểm tra,,,,
Measurement,Revenue,Có nối nguồn lead với doanh thu không?,Chưa kiểm tra,,,,
Governance,Review,Marketing và Sales có họp đọc dữ liệu định kỳ không?,Chưa kiểm tra,,,,
